M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   |   |   before NldfgBuild : Cleanup Simulator M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   after  NldfgBuild : Cleanup Simulator M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   before NldfgBuild : Cleanup Samplers M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   after  NldfgBuild : Cleanup Samplers M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   after  NldfgBuild : Create dfg M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0.01s W=(2026-06-09 23:11:21)
STATS:: |   |   |   after  DfgBuild: NldfgBuild : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0.01s W=(2026-06-09 23:11:21)
STATS:: |   |   |   before StaticCheck: StaticCheckProcess : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   before StaticCheck: NldfgFlatDesign : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   after  StaticCheck: NldfgFlatDesign : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   before StaticCheck: CombLoopCheck  : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   before CombLoop : Topo Order M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   after  CombLoop : Topo Order M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   before CombLoop : Compute Segments M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   after  CombLoop : Compute Segments M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   after  StaticCheck: CombLoopCheck  : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   before StaticCheck: MultiDriverCheck  : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   after  StaticCheck: MultiDriverCheck  : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   after  StaticCheck: StaticCheckProcess : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   before DfgBuild: DfgRemodel : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   after  DfgBuild: DfgRemodel : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   after  Check: FormalModel : M=1447.92mb, Malloc-M=516mb, Available-M=92454mb, T=0s CPU=0.01s W=(2026-06-09 23:11:21)
STATS:: |   after  Check: BuildFormal : M=1447.92mb, Malloc-M=516mb, Available-M=92454mb, T=0s CPU=0.01s W=(2026-06-09 23:11:21)
STATS:: |   before Check: GCDB : M=1447.92mb, Malloc-M=516mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   after  Check: GCDB : M=1447.92mb, Malloc-M=516mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   before Check: Tanglewood : M=1447.92mb, Malloc-M=516mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   before perf_diagnostics_alerts: report_fv : M=1447.92mb, Malloc-M=516mb, Available-M=92452mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   after  perf_diagnostics_alerts: report_fv : M=1447.92mb, Malloc-M=518mb, Available-M=92451mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   before orc_perf_debug diagnostics: orc_perf_debug -mode lite : M=1447.92mb, Malloc-M=518mb, Available-M=92451mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
