M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before sim_save_reset : M=1435.12mb, Malloc-M=526mb, Available-M=92563mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: after  sim_save_reset : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0.01s W=(2026-06-09 22:54:24)
STATS:: before Check: check_fv : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   before Check: BuildFormal : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   before Check: Init : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   after  Check: Init : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   before Check: ResetSetup : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   before Check: EnvInstrumentation : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   after  Check: EnvInstrumentation : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   after  Check: ResetSetup : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   before Check: BotEotInstr : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   after  Check: BotEotInstr : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   before Check: VPSetup : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   after  Check: VPSetup : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   before Check: VPReset : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   after  Check: VPReset : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   before Check: InitApp : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   after  Check: InitApp : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   before Check: FormalModel : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
