M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   after  DfgBuild: Modeling : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   before DfgBuild: FlatRemodel : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   after  DfgBuild: FlatRemodel : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   before DfgBuild: NldfgBuild : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   before NldfgBuild : Print statistics M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   after  NldfgBuild : Print statistics M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   before NldfgBuild : Reduce bidirectionals M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   after  NldfgBuild : Reduce bidirectionals M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   before NldfgBuild : Cutpoint Insertion M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   after  NldfgBuild : Cutpoint Insertion M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   before NldfgBuild : Compute net equivalences M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   after  NldfgBuild : Compute net equivalences M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   before NldfgBuild : Eliminate bidirectionals M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   after  NldfgBuild : Eliminate bidirectionals M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   before NldfgBuild : Remove false combo loops M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
