M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   |   after  NldfgBuild : Remove false combo loops M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   before NldfgBuild : Create dfg M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   before NldfgBuild : Create graph function M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   after  NldfgBuild : Create graph function M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   before NldfgBuild : Create scopes M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   after  NldfgBuild : Create scopes M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   before NldfgBuild : Initial setup M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   after  NldfgBuild : Initial setup M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   before NldfgBuild : Create graph M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   after  NldfgBuild : Create graph M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   before NldfgBuild : Create terminal sinks and sources M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   after  NldfgBuild : Create terminal sinks and sources M=1449.12mb, Malloc-M=527mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   before NldfgBuild : Compute dependencies M=1449.12mb, Malloc-M=527mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute dependencies M=1449.12mb, Malloc-M=527mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   before NldfgBuild : Compute combinational SCCs M=1449.12mb, Malloc-M=527mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute combinational SCCs M=1449.12mb, Malloc-M=527mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   before NldfgBuild : Compute templates M=1449.12mb, Malloc-M=527mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute templates M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   before NldfgBuild : Eliminate combinational SCCs M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   after  NldfgBuild : Eliminate combinational SCCs M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   before NldfgBuild : Computing sequential SCCs M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   after  NldfgBuild : Computing sequential SCCs M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   before NldfgBuild : Create simulator clocks, changeAts and Triggers M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   after  NldfgBuild : Create simulator clocks, changeAts and Triggers M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   before NldfgBuild : SymSimulator Analysis and computation M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   after  NldfgBuild : SymSimulator Analysis and computation M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   before NldfgBuild : Collect Aeps M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   after  NldfgBuild : Collect Aeps M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   before NldfgBuild : Cleanup Simulator M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   after  NldfgBuild : Cleanup Simulator M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   before NldfgBuild : Cleanup Samplers M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   after  NldfgBuild : Cleanup Samplers M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0.01s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   after  NldfgBuild : Create dfg M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0.01s W=(2026-06-10 00:06:51)
STATS:: |   |   |   after  DfgBuild: NldfgBuild : M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0.02s W=(2026-06-10 00:06:51)
STATS:: |   |   |   before StaticCheck: StaticCheckProcess : M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   before StaticCheck: NldfgFlatDesign : M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   after  StaticCheck: NldfgFlatDesign : M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   before StaticCheck: CombLoopCheck  : M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   before CombLoop : Topo Order M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   after  CombLoop : Topo Order M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   before CombLoop : Compute Segments M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   |   after  CombLoop : Compute Segments M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   after  StaticCheck: CombLoopCheck  : M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   before StaticCheck: MultiDriverCheck  : M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   after  StaticCheck: MultiDriverCheck  : M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   after  StaticCheck: StaticCheckProcess : M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   before DfgBuild: DfgRemodel : M=1449.12mb, Malloc-M=527mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   after  DfgBuild: DfgRemodel : M=1449.12mb, Malloc-M=526mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  Check: FormalModel : M=1449.12mb, Malloc-M=517mb, Available-M=92997mb, T=0s CPU=0.02s W=(2026-06-10 00:06:51)
STATS:: |   after  Check: BuildFormal : M=1449.12mb, Malloc-M=517mb, Available-M=92997mb, T=0s CPU=0.02s W=(2026-06-10 00:06:51)
STATS:: |   before Check: Tanglewood : M=1449.12mb, Malloc-M=517mb, Available-M=92997mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   after  Check: Tanglewood : M=1449.12mb, Malloc-M=517mb, Available-M=92996mb, T=0s CPU=0.01s W=(2026-06-10 00:06:51)
STATS:: after  Check: check_fv_setup : M=1449.12mb, Malloc-M=517mb, Available-M=92996mb, T=0s CPU=0.03s W=(2026-06-10 00:06:51)
STATS:: before Check: check_fv : M=1449.12mb, Malloc-M=517mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:52)
STATS:: |   before Check: BuildFormal : M=1449.12mb, Malloc-M=517mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:52)
STATS:: |   |   before Check: Init : M=1449.12mb, Malloc-M=517mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:52)
