cycle,event,a,b,c,d,e
22,imm,1,1,1,0,0
22,decode,19,0,0,0,0
23,operand,17,0,0,1,19
23,value,0,0,0,0,0
23,imm,1,1,1,0,0
23,decode,19,0,0,0,0
24,operand,18,0,0,1,19
24,value,0,0,0,0,0
24,imm,1,1,1,0,0
24,decode,19,0,0,0,0
25,operand,19,0,0,1,19
25,value,0,0,0,0,0
25,imm,1,1,1,0,0
25,decode,19,0,0,0,0
26,operand,20,0,0,1,19
26,value,0,0,0,0,0
26,imm,1,1,1,0,0
26,decode,19,0,0,0,0
27,operand,21,0,0,1,19
27,value,0,0,0,0,0
27,imm,1,1,1,0,0
27,decode,19,0,0,0,0
28,operand,22,0,0,1,19
28,value,0,0,0,0,0
28,imm,1,1,1,0,0
28,decode,19,0,0,0,0
29,operand,23,0,0,1,19
29,value,0,0,0,0,0
29,imm,1,1,1,0,0
29,decode,19,0,0,0,0
30,operand,24,0,0,1,19
30,value,0,0,0,0,0
30,imm,1,1,1,0,0
30,decode,19,0,0,0,0
31,operand,25,0,0,1,19
31,value,0,0,0,0,0
31,imm,1,1,1,0,0
31,decode,19,0,0,0,0
32,operand,26,0,0,1,19
32,value,0,0,0,0,0
32,imm,1,1,1,0,0
32,decode,19,0,0,0,0
33,operand,27,0,0,1,19
33,value,0,0,0,0,0
33,imm,1,1,1,0,0
33,decode,19,0,0,0,0
34,operand,28,0,0,1,19
34,value,0,0,0,0,0
34,imm,1,1,1,0,0
34,decode,19,0,0,0,0
35,operand,29,0,0,1,19
35,value,0,0,0,0,0
35,imm,1,1,1,0,0
35,decode,19,0,0,0,0
36,operand,30,0,0,1,19
36,value,0,0,0,0,0
36,imm,1,1,1,0,0
36,decode,19,0,0,0,0
37,operand,31,0,0,1,19
37,value,0,0,0,0,0
37,imm,1,1,1,0,0
37,decode,19,0,0,0,0
38,operand,0,0,0,1,19
38,value,0,0,0,0,0
38,imm,1,1,1,0,0
38,decode,19,0,0,0,0
39,operand,0,1,0,1,19
39,value,0,0,0,0,0
39,imm,1,1,1,0,0
39,decode,19,0,0,0,0
40,operand,0,2,0,1,19
40,value,0,0,0,0,0
40,imm,1,1,1,0,0
40,decode,19,0,0,0,0
41,operand,0,3,0,1,19
41,value,0,0,0,0,0
41,imm,1,1,1,0,0
41,decode,19,0,0,0,0
42,operand,0,4,0,1,19
42,value,0,0,0,0,0
42,imm,1,1,1,0,0
42,decode,19,0,0,0,0
43,operand,0,5,0,1,19
43,value,0,0,0,0,0
43,imm,1,1,1,0,0
43,decode,19,0,0,0,0
44,operand,0,6,0,1,19
44,value,0,0,0,0,0
44,imm,1,1,1,0,0
44,decode,19,0,0,0,0
45,operand,0,7,0,1,19
45,value,0,0,0,0,0
45,imm,1,1,1,0,0
45,decode,19,0,0,0,0
46,operand,0,8,0,1,19
46,value,0,0,0,0,0
46,imm,1,1,1,0,0
46,decode,19,0,0,0,0
47,operand,0,9,0,1,19
47,value,0,0,0,0,0
47,imm,1,1,1,0,0
47,decode,19,0,0,0,0
48,operand,0,10,0,1,19
48,value,0,0,0,0,0
48,imm,1,1,1,0,0
48,decode,19,0,0,0,0
49,operand,0,11,0,1,19
49,value,0,0,0,0,0
49,imm,1,1,1,0,0
49,decode,19,0,0,0,0
50,operand,0,12,0,1,19
50,value,0,0,0,0,0
50,imm,1,1,1,0,0
50,decode,19,0,0,0,0
51,operand,0,13,0,1,19
51,value,0,0,0,0,0
51,imm,1,1,1,0,0
51,decode,19,0,0,0,0
52,operand,0,14,0,1,19
52,value,0,0,0,0,0
52,imm,1,1,1,0,0
52,decode,19,0,0,0,0
53,operand,0,15,0,1,19
53,value,0,0,0,0,0
53,imm,1,1,1,0,0
53,decode,19,0,0,0,0
54,operand,0,16,0,1,19
54,value,0,0,0,0,0
54,imm,1,1,1,0,0
54,decode,19,0,0,0,0
55,operand,0,17,0,1,19
55,value,0,0,0,0,0
55,imm,1,1,1,0,0
55,decode,19,0,0,0,0
56,operand,0,18,0,1,19
56,value,0,0,0,0,0
56,imm,1,1,1,0,0
56,decode,19,0,0,0,0
57,operand,0,19,0,1,19
