cycle,event,a,b,c,d,e
24,bp,1,0,0,0,0
24,redirect,1,0,0,0,0
25,operand,8,29,30,4,99
25,value,3,4,0,0,0
25,imm,3,2,0,8,0
27,decode,99,0,7,0,7
27,branch,0,0,0,0,0
28,decode,19,0,0,0,0
28,bp,0,0,0,0,0
29,operand,8,29,30,4,99
29,value,3,4,0,0,0
29,imm,3,2,0,8,0
29,decode,19,0,0,0,0
30,operand,18,0,3,1,19
30,value,0,0,0,0,0
30,imm,1,2,0,3,0
30,decode,19,0,0,0,0
31,operand,10,0,0,1,19
31,value,0,0,0,0,0
31,imm,1,1,1,0,0
31,decode,19,0,0,0,0
32,operand,11,0,20,1,19
32,value,0,0,0,0,0
32,imm,1,2,0,20,0
32,decode,99,0,4,127,4
32,branch,1,1,0,0,0
33,operand,10,10,1,1,19
33,value,0,0,0,0,0
33,imm,1,2,0,1,0
33,decode,111,0,0,0,0
33,jump,1,0,0,0,0
33,bp,1,0,0,0,0
33,redirect,1,0,0,0,0
34,operand,29,10,11,4,99
34,value,1,20,0,0,0
34,imm,3,3,0,4294967292,0
36,decode,19,0,0,0,0
37,decode,99,0,4,127,4
37,branch,1,1,0,0,0
38,operand,10,10,1,1,19
38,value,1,0,0,0,0
38,imm,1,2,0,1,0
38,decode,19,0,0,0,0
38,bp,0,0,0,0,0
39,operand,29,10,11,4,99
39,value,2,20,0,0,0
39,imm,3,3,0,4294967292,0
39,decode,99,0,4,127,4
39,branch,1,1,0,0,0
40,operand,10,10,1,1,19
40,value,2,0,0,0,0
40,imm,1,2,0,1,0
40,decode,19,0,0,0,0
40,bp,0,0,0,0,0
41,operand,29,10,11,4,99
41,value,3,20,0,0,0
41,imm,3,3,0,4294967292,0
41,decode,99,0,4,127,4
41,branch,1,1,0,0,0
42,operand,10,10,1,1,19
42,value,3,0,0,0,0
42,imm,1,2,0,1,0
42,decode,19,0,0,0,0
42,bp,0,0,0,0,0
43,operand,29,10,11,4,99
43,value,4,20,0,0,0
43,imm,3,3,0,4294967292,0
43,decode,99,0,4,127,4
43,branch,1,1,0,0,0
44,operand,10,10,1,1,19
44,value,4,0,0,0,0
44,imm,1,2,0,1,0
44,decode,19,0,0,0,0
44,bp,0,0,0,0,0
45,operand,29,10,11,4,99
45,value,5,20,0,0,0
45,imm,3,3,0,4294967292,0
45,decode,99,0,4,127,4
45,branch,1,1,0,0,0
46,operand,10,10,1,1,19
46,value,5,0,0,0,0
46,imm,1,2,0,1,0
46,decode,19,0,0,0,0
46,bp,0,0,0,0,0
47,operand,29,10,11,4,99
47,value,6,20,0,0,0
47,imm,3,3,0,4294967292,0
47,decode,99,0,4,127,4
47,branch,1,1,0,0,0
48,operand,10,10,1,1,19
48,value,6,0,0,0,0
48,imm,1,2,0,1,0
48,decode,19,0,0,0,0
48,bp,0,0,0,0,0
49,operand,29,10,11,4,99
49,value,7,20,0,0,0
49,imm,3,3,0,4294967292,0
49,decode,99,0,4,127,4
49,branch,1,1,0,0,0
50,operand,10,10,1,1,19
50,value,7,0,0,0,0
50,imm,1,2,0,1,0
50,decode,19,0,0,0,0
50,bp,0,0,0,0,0
51,operand,29,10,11,4,99
51,value,8,20,0,0,0
51,imm,3,3,0,4294967292,0
51,decode,99,0,4,127,4
51,branch,1,1,0,0,0
52,operand,10,10,1,1,19
52,value,8,0,0,0,0
52,imm,1,2,0,1,0
52,decode,19,0,0,0,0
52,bp,0,0,0,0,0
53,operand,29,10,11,4,99
53,value,9,20,0,0,0
53,imm,3,3,0,4294967292,0
53,decode,99,0,4,127,4
53,branch,1,1,0,0,0
54,operand,10,10,1,1,19
54,value,9,0,0,0,0
54,imm,1,2,0,1,0
54,decode,19,0,0,0,0
54,bp,0,0,0,0,0
55,operand,29,10,11,4,99
55,value,10,20,0,0,0
55,imm,3,3,0,4294967292,0
55,decode,99,0,4,127,4
55,branch,1,1,0,0,0
56,operand,10,10,1,1,19
56,value,10,0,0,0,0
56,imm,1,2,0,1,0
56,decode,19,0,0,0,0
56,bp,0,0,0,0,0
57,operand,29,10,11,4,99
57,value,11,20,0,0,0
