################################################################################
#
# Purpose:
# This file contains the information about the virtual clock domains 
# inferred for the black box pins according to the "abstract_module" 
# constraints provided in sgdc file 
#
################################################################################

Blackbox instance, Pin, Domain name, Domain id, SGDC file:line
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[11],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[12],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[13],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[14],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[15],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[16],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[17],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[18],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[19],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[20],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[21],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[22],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[23],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[24],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[25],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[26],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[27],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[28],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[29],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[30],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[31],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_valid,"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[0],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[1],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[2],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[3],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[4],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[5],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[6],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[7],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[8],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[9],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[10],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[11],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[12],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[13],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[14],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[15],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[16],"cpu_m1_top.clk",0,-
